Age,AgeGroup,Sex,Job,Housing,SavingAccounts,CheckingAccount,CreditAmount,Duration,InstallmentRate,Purpose
19,Young,female,1,rent,rich,moderate,983.00,12.00,81.92,furniture/equipment
19,Young,female,2,rent,little,unknown,1980.00,9.00,220.00,furniture/equipment
20,Young,male,2,rent,unknown,rich,3617.00,24.00,150.71,furniture/equipment
20,Young,female,2,rent,little,little,1282.00,12.00,106.83,furniture/equipment
20,Young,female,2,own,rich,moderate,1577.00,11.00,143.36,furniture/equipment
20,Young,male,2,own,moderate,little,674.00,12.00,56.17,radio/TV
20,Young,female,2,rent,unknown,unknown,4675.00,12.00,389.58,car
20,Young,female,2,own,little,moderate,1967.00,24.00,81.96,radio/TV
20,Young,female,2,rent,rich,unknown,3186.00,15.00,212.40,car
20,Young,male,2,own,little,unknown,1313.00,9.00,145.89,furniture/equipment
20,Young,male,2,own,unknown,little,2996.00,24.00,124.83,furniture/equipment
20,Young,male,2,rent,little,moderate,585.00,12.00,48.75,radio/TV
20,Young,female,2,rent,little,little,2039.00,18.00,113.28,furniture/equipment
20,Young,female,1,rent,little,moderate,2718.00,24.00,113.25,car
20,Young,female,2,rent,quite rich,unknown,2221.00,15.00,148.07,furniture/equipment
20,Young,male,3,rent,little,little,1107.00,12.00,92.25,radio/TV
21,Young,female,2,own,moderate,unknown,10144.00,60.00,169.07,radio/TV
21,Young,male,2,rent,moderate,moderate,3031.00,45.00,67.36,radio/TV
21,Young,male,2,rent,little,little,902.00,12.00,75.17,education
21,Young,male,1,own,little,little,6568.00,24.00,273.67,business
21,Young,male,2,rent,little,unknown,1766.00,6.00,294.33,furniture/equipment
21,Young,female,2,rent,unknown,unknown,1126.00,18.00,62.56,radio/TV
21,Young,male,2,rent,little,moderate,2779.00,18.00,154.39,car
21,Young,male,1,own,little,little,1289.00,12.00,107.42,furniture/equipment
21,Young,female,2,rent,moderate,moderate,3441.00,30.00,114.70,furniture/equipment
21,Young,male,2,own,little,unknown,15653.00,60.00,260.88,radio/TV
21,Young,female,2,rent,little,unknown,2570.00,27.00,95.19,car
21,Young,male,1,rent,little,little,1987.00,24.00,82.79,radio/TV
21,Young,female,2,own,unknown,unknown,886.00,12.00,73.83,radio/TV
21,Young,female,2,rent,little,little,1049.00,18.00,58.28,furniture/equipment
22,Young,female,2,own,little,moderate,5951.00,48.00,123.98,radio/TV
22,Young,female,2,own,little,moderate,1567.00,12.00,130.58,radio/TV
